조사년도,지역구분,광역시도,빈도,조율,표준오차(조율),표준화율,표준오차(표준화율),변동계수,지표명
2009,시도,강원,15981.0,9.3,0.3,9.1,0.3,3.5,우울감 경험률
2009,시도,충북,11651.0,6.0,0.3,5.6,0.3,5.1,우울감 경험률
2009,시도,충남,14431.0,6.9,0.3,6.8,0.3,4.3,우울감 경험률
2009,시도,전북,12937.0,5.5,0.3,5.1,0.3,5.0,우울감 경험률
2009,시도,전남,20095.0,5.7,0.2,5.3,0.2,3.9,우울감 경험률
2009,시도,경북,22278.0,7.5,0.2,7.1,0.2,3.3,우울감 경험률
2009,시도,경남,18099.0,6.6,0.3,6.3,0.2,4.0,우울감 경험률
2009,시도,제주,5155.0,9.9,0.8,9.5,0.6,8.0,우울감 경험률
2010,전국,-,,5.2,,5.0,,,우울감 경험률
2010,시도,서울,22871.0,6.8,0.2,6.7,0.2,2.6,우울감 경험률
2010,시도,부산,14663.0,4.9,0.2,4.8,0.2,4.4,우울감 경험률
2010,시도,대구,7300.0,5.5,0.3,5.4,0.3,6.2,우울감 경험률
2010,시도,인천,9048.0,6.0,0.3,6.0,0.3,5.1,우울감 경험률
2010,시도,광주,4647.0,5.0,0.3,5.0,0.3,6.0,우울감 경험률
2010,시도,대전,4581.0,6.1,0.4,6.0,0.4,6.7,우울감 경험률
2010,시도,울산,4568.0,5.4,0.3,5.5,0.3,6.3,우울감 경험률
2010,시도,경기,41168.0,5.8,0.1,5.8,0.1,2.5,우울감 경험률
2010,시도,강원,15958.0,6.5,0.3,6.3,0.3,4.4,우울감 경험률
2010,시도,충북,11686.0,4.0,0.2,3.9,0.2,6.0,우울감 경험률
2010,시도,충남,14366.0,4.7,0.2,4.5,0.2,4.7,우울감 경험률
2010,시도,전북,12633.0,5.3,0.2,5.1,0.3,4.6,우울감 경험률
2010,시도,전남,19994.0,4.1,0.2,3.9,0.2,5.1,우울감 경험률
2010,시도,경북,22282.0,5.7,0.2,5.3,0.2,3.7,우울감 경험률
2010,시도,경남,18041.0,4.0,0.2,3.8,0.2,4.6,우울감 경험률
2010,시도,제주,5109.0,6.4,0.5,6.2,0.6,7.8,우울감 경험률
2011,전국,-,,4.9,,4.6,,,우울감 경험률
2011,시도,서울,23109.0,7.0,0.2,6.9,0.2,2.7,우울감 경험률
2011,시도,부산,14639.0,5.5,0.2,5.4,0.2,4.0,우울감 경험률
2011,시도,대구,7327.0,4.2,0.3,4.1,0.2,6.7,우울감 경험률
2011,시도,인천,9028.0,5.2,0.3,5.2,0.3,5.0,우울감 경험률
2011,시도,광주,4632.0,5.4,0.4,5.4,0.4,6.8,우울감 경험률
2011,시도,대전,4585.0,4.2,0.3,4.3,0.3,8.0,우울감 경험률
2011,시도,울산,4568.0,3.6,0.3,3.7,0.3,8.6,우울감 경험률
2011,시도,경기,41153.0,6.2,0.1,6.2,0.1,2.3,우울감 경험률
2011,시도,강원,15882.0,4.7,0.3,4.5,0.3,5.5,우울감 경험률
2011,시도,충북,11612.0,4.1,0.2,4.0,0.2,5.8,우울감 경험률
2011,시도,충남,14384.0,4.7,0.3,4.7,0.3,5.4,우울감 경험률
2011,시도,전북,12551.0,3.3,0.2,3.2,0.3,6.5,우울감 경험률
2011,시도,전남,20035.0,3.3,0.2,3.2,0.2,5.6,우울감 경험률
2011,시도,경북,22267.0,5.0,0.2,4.6,0.2,4.0,우울감 경험률
2011,시도,경남,18169.0,4.1,0.2,4.0,0.2,5.2,우울감 경험률
2011,시도,제주,5088.0,6.7,0.6,6.3,0.5,8.9,우울감 경험률
2012,전국,-,,4.9,,4.7,,,우울감 경험률
2012,시도,서울,23055.0,6.8,0.2,6.7,0.2,2.8,우울감 경험률
2012,시도,부산,14611.0,5.1,0.2,4.9,0.2,4.1,우울감 경험률
2012,시도,대구,7326.0,5.7,0.3,5.6,0.3,5.8,우울감 경험률
2012,시도,인천,9000.0,5.6,0.3,5.6,0.3,5.4,우울감 경험률
2012,시도,광주,4646.0,6.1,0.4,6.1,0.4,6.4,우울감 경험률
2012,시도,대전,4583.0,4.4,0.4,4.3,0.3,8.1,우울감 경험률
2012,시도,울산,4594.0,3.0,0.3,3.1,0.3,9.3,우울감 경험률
2012,시도,세종,925.0,4.4,0.9,4.7,0.9,21.2,우울감 경험률
2012,시도,경기,41246.0,5.5,0.1,5.4,0.1,2.6,우울감 경험률
2012,시도,강원,15916.0,5.1,0.3,4.8,0.3,5.1,우울감 경험률
2012,시도,충북,11604.0,5.1,0.3,5.0,0.3,5.5,우울감 경험률
2012,시도,충남,13507.0,5.3,0.2,5.3,0.3,4.6,우울감 경험률
2012,시도,전북,12480.0,5.4,0.3,5.1,0.3,5.8,우울감 경험률
2012,시도,전남,19783.0,4.2,0.2,3.9,0.2,5.1,우울감 경험률
2012,시도,경북,22298.0,4.2,0.2,3.8,0.2,4.3,우울감 경험률
2012,시도,경남,18104.0,4.1,0.2,4.0,0.2,5.0,우울감 경험률
2012,시도,제주,5127.0,5.3,0.4,5.3,0.5,8.4,우울감 경험률
2013,전국,-,,5.4,,5.2,,,우울감 경험률
2013,시도,서울,23135.0,7.1,0.2,7.0,0.2,2.6,우울감 경험률
2013,시도,부산,14599.0,4.9,0.2,4.8,0.2,4.4,우울감 경험률
2013,시도,대구,7334.0,5.4,0.3,5.3,0.3,5.8,우울감 경험률
2013,시도,인천,9022.0,7.7,0.3,7.5,0.3,4.5,우울감 경험률
2013,시도,광주,4643.0,4.7,0.3,4.6,0.3,6.9,우울감 경험률
2013,시도,대전,4586.0,7.0,0.4,6.8,0.4,6.0,우울감 경험률
2013,시도,울산,4574.0,3.6,0.3,3.6,0.3,9.0,우울감 경험률
2013,시도,세종,922.0,5.2,0.8,4.9,0.8,14.7,우울감 경험률
2013,시도,경기,41222.0,6.5,0.1,6.5,0.1,2.1,우울감 경험률
2013,시도,강원,15943.0,5.8,0.3,5.8,0.3,4.6,우울감 경험률
2013,시도,충북,11595.0,6.9,0.3,6.9,0.4,4.9,우울감 경험률
2013,시도,충남,13513.0,6.2,0.3,6.0,0.3,5.5,우울감 경험률
2013,시도,전북,12502.0,5.9,0.3,5.8,0.4,5.6,우울감 경험률
2013,시도,전남,19693.0,4.4,0.2,4.0,0.2,4.4,우울감 경험률
2013,시도,경북,22315.0,5.2,0.2,4.8,0.2,3.8,우울감 경험률
2013,시도,경남,18063.0,3.9,0.2,3.9,0.2,4.6,우울감 경험률
2013,시도,제주,5061.0,6.0,0.5,6.2,0.5,8.9,우울감 경험률
2014,전국,-,,6.8,,6.4,,,우울감 경험률
2014,시도,서울,23024.0,8.3,0.2,8.1,0.2,2.5,우울감 경험률
2014,시도,부산,14577.0,6.3,0.2,5.8,0.2,3.8,우울감 경험률
2014,시도,대구,7332.0,5.7,0.4,5.4,0.3,6.1,우울감 경험률
2014,시도,인천,9004.0,8.5,0.4,8.3,0.3,4.4,우울감 경험률
2014,시도,광주,4619.0,6.5,0.4,6.4,0.4,5.5,우울감 경험률
2014,시도,대전,4592.0,6.1,0.4,5.9,0.4,5.9,우울감 경험률
2014,시도,울산,4577.0,5.3,0.4,5.3,0.4,6.8,우울감 경험률
2014,시도,세종,934.0,7.4,1.0,6.9,0.9,12.8,우울감 경험률
2014,시도,경기,41189.0,7.0,0.1,6.9,0.1,2.1,우울감 경험률
2014,시도,강원,15904.0,8.4,0.4,8.1,0.3,4.5,우울감 경험률
2014,시도,충북,11587.0,9.0,0.4,8.8,0.4,3.9,우울감 경험률
2014,시도,충남,13519.0,8.1,0.4,7.9,0.4,5.1,우울감 경험률
2014,시도,전북,12475.0,6.7,0.3,6.4,0.4,5.1,우울감 경험률
2014,시도,전남,19763.0,5.0,0.2,4.6,0.2,4.5,우울감 경험률
2014,시도,경북,22273.0,6.7,0.3,6.3,0.3,3.8,우울감 경험률
2014,시도,경남,18046.0,4.5,0.2,4.2,0.2,5.0,우울감 경험률
2014,시도,제주,5228.0,8.0,0.7,7.9,0.6,8.5,우울감 경험률
2015,전국,-,,6.1,,6.0,,,우울감 경험률
2015,시도,서울,22995.0,7.9,0.2,7.8,0.2,2.4,우울감 경험률
2015,시도,부산,14597.0,5.5,0.2,5.2,0.2,4.1,우울감 경험률
2015,시도,대구,7328.0,5.4,0.3,5.1,0.3,5.5,우울감 경험률
2015,시도,인천,9012.0,8.1,0.4,7.9,0.3,4.6,우울감 경험률
2015,시도,광주,4600.0,5.0,0.4,5.0,0.4,7.4,우울감 경험률
2015,시도,대전,4590.0,7.7,0.4,7.6,0.4,5.6,우울감 경험률
2015,시도,울산,4567.0,4.8,0.3,4.8,0.4,6.7,우울감 경험률
2015,시도,세종,924.0,7.7,1.0,7.5,1.1,12.6,우울감 경험률
2015,시도,경기,41167.0,6.3,0.1,6.3,0.1,2.2,우울감 경험률
2015,시도,강원,15876.0,6.3,0.3,6.1,0.3,4.5,우울감 경험률
2015,시도,충북,11605.0,7.8,0.4,7.9,0.4,4.5,우울감 경험률
2015,시도,충남,13583.0,6.8,0.3,6.6,0.3,4.7,우울감 경험률
2015,시도,전북,12524.0,4.6,0.3,4.4,0.3,7.3,우울감 경험률
2015,시도,전남,19725.0,7.2,0.3,6.7,0.3,4.1,우울감 경험률
2015,시도,경북,22264.0,7.2,0.3,7.1,0.3,3.7,우울감 경험률
2015,시도,경남,18033.0,4.9,0.2,4.7,0.2,4.3,우울감 경험률
2015,시도,제주,5087.0,5.7,0.7,5.7,0.6,11.8,우울감 경험률
2016,전국,-,,5.7,,5.5,,,우울감 경험률
2016,시도,서울,22933.0,7.0,0.2,6.9,0.2,2.8,우울감 경험률
2016,시도,부산,14530.0,6.1,0.2,5.8,0.2,4.1,우울감 경험률
2016,시도,대구,7302.0,5.0,0.3,4.9,0.3,6.1,우울감 경험률
2016,시도,인천,8977.0,7.2,0.3,6.9,0.3,4.3,우울감 경험률
2016,시도,광주,4596.0,4.7,0.3,4.6,0.3,6.7,우울감 경험률
2016,시도,대전,4570.0,7.4,0.4,7.4,0.5,6.0,우울감 경험률
2016,시도,울산,4553.0,3.8,0.3,3.8,0.3,8.6,우울감 경험률
2016,시도,세종,922.0,5.0,0.8,4.9,0.7,15.3,우울감 경험률
2016,시도,경기,41019.0,6.6,0.1,6.5,0.1,2.2,우울감 경험률
2016,시도,강원,15822.0,5.5,0.3,5.3,0.3,4.8,우울감 경험률
2016,시도,충북,12463.0,5.9,0.3,5.8,0.3,4.6,우울감 경험률
2016,시도,충남,13526.0,6.9,0.3,6.4,0.3,4.8,우울감 경험률
2016,시도,전북,12427.0,6.2,0.4,5.9,0.4,6.0,우울감 경험률
2016,시도,전남,19608.0,4.5,0.2,4.5,0.3,4.9,우울감 경험률
2016,시도,경북,22166.0,6.2,0.2,5.8,0.2,3.8,우울감 경험률
2016,시도,경남,17932.0,4.1,0.2,4.1,0.2,4.5,우울감 경험률
2016,시도,제주,5035.0,6.4,0.6,6.6,0.6,10.0,우울감 경험률
2017,전국,-,,6.0,,5.8,,,우울감 경험률
2017,시도,서울,22945.0,7.2,0.2,7.1,0.2,2.6,우울감 경험률
2017,시도,부산,14521.0,6.4,0.2,6.0,0.2,3.7,우울감 경험률
2017,시도,대구,7310.0,4.6,0.3,4.6,0.3,6.3,우울감 경험률
2017,시도,인천,8982.0,7.5,0.4,7.2,0.3,4.9,우울감 경험률
2017,시도,광주,4582.0,5.5,0.4,5.4,0.4,7.0,우울감 경험률
2017,시도,대전,4577.0,5.4,0.4,5.6,0.4,6.8,우울감 경험률
2017,시도,울산,4549.0,4.4,0.3,4.4,0.3,7.3,우울감 경험률
2017,시도,세종,919.0,7.1,1.0,7.7,1.2,13.7,우울감 경험률
2017,시도,경기,40991.0,6.9,0.2,6.9,0.2,2.2,우울감 경험률
2017,시도,강원,15828.0,7.1,0.3,6.8,0.4,4.3,우울감 경험률
2017,시도,충북,12461.0,6.1,0.3,5.7,0.3,4.9,우울감 경험률
2017,시도,충남,13488.0,7.7,0.4,7.6,0.4,4.8,우울감 경험률
2017,시도,전북,12421.0,6.8,0.3,6.4,0.4,4.6,우울감 경험률
2017,시도,전남,19619.0,5.0,0.2,5.1,0.3,4.4,우울감 경험률
2017,시도,경북,22155.0,5.3,0.2,5.1,0.2,4.2,우울감 경험률
2017,시도,경남,17934.0,5.1,0.2,5.0,0.2,4.5,우울감 경험률
2017,시도,제주,5039.0,6.4,0.6,6.4,0.7,9.1,우울감 경험률
2018,전국,-,,5.3,,5.0,,,우울감 경험률
2018,시도,서울,22903.0,5.1,0.2,4.9,0.2,3.1,우울감 경험률
2018,시도,부산,14515.0,6.7,0.3,6.0,0.2,3.8,우울감 경험률
2018,시도,대구,7302.0,3.5,0.2,3.4,0.2,6.8,우울감 경험률
2018,시도,인천,8977.0,8.4,0.4,8.1,0.3,4.4,우울감 경험률
2018,시도,광주,4564.0,4.5,0.3,4.5,0.3,7.1,우울감 경험률
2018,시도,대전,4575.0,4.7,0.3,4.7,0.4,7.4,우울감 경험률
2018,시도,울산,4552.0,4.7,0.4,4.8,0.4,7.8,우울감 경험률
2018,시도,세종,917.0,6.3,0.9,6.1,0.8,13.8,우울감 경험률
2018,시도,경기,40943.0,6.4,0.2,6.2,0.1,2.4,우울감 경험률
2018,시도,강원,15816.0,5.8,0.3,5.3,0.3,5.3,우울감 경험률
2018,시도,충북,12471.0,5.8,0.3,5.7,0.3,4.3,우울감 경험률
2018,시도,충남,13477.0,7.4,0.3,6.8,0.3,4.7,우울감 경험률
2018,시도,전북,12465.0,9.5,0.5,8.7,0.5,5.0,우울감 경험률
2018,시도,전남,19605.0,4.8,0.2,4.4,0.3,5.1,우울감 경험률
2018,시도,경북,22166.0,5.3,0.2,5.3,0.3,4.3,우울감 경험률
2018,시도,경남,17942.0,5.4,0.2,5.2,0.3,4.6,우울감 경험률
2018,시도,제주,5038.0,4.7,0.6,4.5,0.5,12.7,우울감 경험률
2019,전국,-,,5.7,,5.5,,,우울감 경험률
2019,시도,서울,22909.0,6.5,0.2,6.5,0.2,2.9,우울감 경험률
2019,시도,부산,14509.0,6.1,0.2,5.5,0.2,3.9,우울감 경험률
2019,시도,대구,7289.0,5.5,0.3,5.4,0.3,5.7,우울감 경험률
2019,시도,인천,8972.0,7.6,0.4,7.6,0.3,4.6,우울감 경험률
2019,시도,광주,4567.0,5.5,0.4,5.4,0.4,7.2,우울감 경험률
2019,시도,대전,4577.0,4.2,0.3,4.2,0.3,7.7,우울감 경험률
2019,시도,울산,4551.0,5.4,0.4,5.4,0.4,7.0,우울감 경험률
2019,시도,세종,915.0,4.7,0.9,4.9,0.9,18.3,우울감 경험률
2019,시도,경기,41858.0,6.7,0.1,6.5,0.1,2.2,우울감 경험률
2019,시도,강원,15810.0,5.9,0.3,5.7,0.4,5.1,우울감 경험률
2019,시도,충북,12481.0,6.8,0.3,6.4,0.3,4.4,우울감 경험률
2019,시도,충남,13480.0,6.6,0.3,6.5,0.3,4.9,우울감 경험률
2019,시도,전북,12406.0,7.1,0.4,6.7,0.4,5.4,우울감 경험률
2019,시도,전남,19520.0,4.6,0.2,4.2,0.3,4.9,우울감 경험률
2019,시도,경북,22174.0,6.6,0.2,6.5,0.3,3.8,우울감 경험률
2019,시도,경남,17942.0,4.9,0.2,4.8,0.3,4.8,우울감 경험률
2019,시도,제주,5049.0,4.8,0.5,4.6,0.5,10.4,우울감 경험률
2020,전국,-,,5.5,,5.7,,,우울감 경험률
2020,시도,서울,22912.0,6.3,0.2,6.3,0.2,3.0,우울감 경험률
2020,시도,부산,14502.0,5.9,0.2,5.7,0.3,3.7,우울감 경험률
2020,시도,대구,7317.0,5.2,0.3,5.4,0.3,5.7,우울감 경험률
2020,시도,인천,8975.0,8.0,0.4,7.9,0.4,4.5,우울감 경험률
2020,시도,광주,4615.0,4.6,0.4,4.5,0.3,7.8,우울감 경험률
2020,시도,대전,4578.0,4.8,0.3,4.8,0.4,7.2,우울감 경험률
2020,시도,울산,4555.0,5.4,0.4,5.5,0.4,6.5,우울감 경험률
2020,시도,세종,912.0,6.1,0.8,6.1,0.8,13.1,우울감 경험률
2020,시도,경기,41975.0,6.2,0.1,6.3,0.1,2.4,우울감 경험률
2020,시도,강원,15807.0,5.8,0.3,5.7,0.3,5.2,우울감 경험률
2020,시도,충북,12489.0,6.1,0.3,5.9,0.3,4.9,우울감 경험률
2020,시도,충남,13431.0,5.9,0.3,6.0,0.4,5.8,우울감 경험률
2020,시도,전북,12441.0,5.0,0.3,4.8,0.3,5.1,우울감 경험률
2020,시도,전남,19552.0,3.9,0.2,4.2,0.3,5.0,우울감 경험률
2020,시도,경북,22163.0,5.7,0.2,6.1,0.3,4.1,우울감 경험률
2020,시도,경남,17936.0,6.3,0.3,6.4,0.3,4.7,우울감 경험률
2020,시도,제주,5050.0,4.1,0.4,4.3,0.5,10.7,우울감 경험률
2021,전국,-,229213.0,7.2,0.1,6.7,0.1,1.0,우울감 경험률
2021,시도,서울,22923.0,7.0,0.2,6.8,0.2,2.7,우울감 경험률
2021,시도,부산,14508.0,7.1,0.2,6.9,0.3,3.5,우울감 경험률
2021,시도,대구,7326.0,6.0,0.3,5.8,0.3,5.7,우울감 경험률
2021,시도,인천,8975.0,9.4,0.4,8.8,0.4,3.7,우울감 경험률
2021,시도,광주,4602.0,6.8,0.4,6.3,0.4,6.2,우울감 경험률
2021,시도,대전,4609.0,6.7,0.4,6.5,0.4,6.4,우울감 경험률
2021,시도,울산,4554.0,6.5,0.4,6.3,0.4,6.3,우울감 경험률
2021,시도,세종,919.0,6.4,0.9,6.6,1.0,14.1,우울감 경험률
2021,시도,경기,41887.0,7.2,0.2,7.1,0.1,2.1,우울감 경험률
2021,시도,강원,15816.0,7.6,0.4,7.2,0.4,5.2,우울감 경험률
2021,시도,충북,12482.0,7.6,0.3,7.3,0.3,4.0,우울감 경험률
2021,시도,충남,13474.0,8.4,0.4,8.1,0.4,4.6,우울감 경험률
2021,시도,전북,12426.0,8.0,0.4,7.6,0.4,4.8,우울감 경험률
2021,시도,전남,19542.0,5.6,0.2,5.1,0.3,4.2,우울감 경험률
2021,시도,경북,22198.0,6.2,0.2,6.0,0.3,3.4,우울감 경험률
2021,시도,경남,17943.0,7.4,0.3,7.1,0.3,4.4,우울감 경험률
2021,시도,제주,5029.0,6.1,0.5,5.8,0.6,7.4,우울감 경험률
2022,전국,-,231747.0,7.4,0.1,7.1,0.1,1.0,우울감 경험률
2022,시도,서울,22941.0,7.3,0.2,7.1,0.2,2.7,우울감 경험률
2022,시도,부산,14511.0,8.3,0.3,7.5,0.3,3.2,우울감 경험률
2022,시도,대구,7314.0,6.2,0.3,6.1,0.3,5.2,우울감 경험률
2022,시도,인천,8976.0,8.3,0.4,8.0,0.4,4.4,우울감 경험률
2022,시도,광주,4564.0,6.5,0.4,6.3,0.4,6.4,우울감 경험률
2022,시도,대전,4593.0,7.0,0.5,6.7,0.4,6.5,우울감 경험률
2022,시도,울산,4554.0,8.1,0.5,7.8,0.5,5.8,우울감 경험률
2022,시도,세종,917.0,4.1,0.7,4.1,0.7,16.3,우울감 경험률
2022,시도,경기,43643.0,7.3,0.1,7.1,0.1,2.0,우울감 경험률
2022,시도,강원,15806.0,7.8,0.3,7.1,0.4,4.2,우울감 경험률
2022,시도,충북,12476.0,8.2,0.3,7.8,0.3,4.0,우울감 경험률
2022,시도,충남,14337.0,8.2,0.3,7.9,0.4,4.1,우울감 경험률
2022,시도,전북,12427.0,8.4,0.4,7.8,0.4,4.2,우울감 경험률
2022,시도,전남,19538.0,6.4,0.3,5.8,0.3,4.1,우울감 경험률
2022,시도,경북,22167.0,7.3,0.3,6.8,0.3,3.5,우울감 경험률
2022,시도,경남,17951.0,7.2,0.3,6.9,0.3,3.7,우울감 경험률
2022,시도,제주,5032.0,6.1,0.5,5.7,0.5,8.4,우울감 경험률
2023,전국,-,231716.0,7.9,0.1,7.7,0.1,1.0,우울감 경험률
2023,시도,서울,22928.0,8.4,0.2,8.3,0.2,2.4,우울감 경험률
2023,시도,부산,14511.0,8.2,0.3,7.7,0.3,3.3,우울감 경험률
2023,시도,대구,8183.0,6.8,0.3,6.7,0.4,5.1,우울감 경험률
2023,시도,인천,8977.0,6.9,0.3,6.5,0.3,4.5,우울감 경험률
2023,시도,광주,4566.0,7.5,0.4,7.0,0.4,5.5,우울감 경험률
2023,시도,대전,4588.0,8.3,0.5,7.9,0.4,5.6,우울감 경험률
2023,시도,울산,4554.0,8.6,0.5,8.6,0.5,5.9,우울감 경험률
2023,시도,세종,920.0,9.2,1.0,8.8,1.1,11.0,우울감 경험률
2023,시도,경기,43642.0,7.8,0.2,7.7,0.2,2.0,우울감 경험률
2023,시도,강원,15816.0,9.0,0.4,8.6,0.4,4.1,우울감 경험률
2023,시도,충북,12458.0,7.7,0.3,7.5,0.4,4.4,우울감 경험률
2023,시도,충남,14329.0,8.6,0.3,8.3,0.4,3.8,우울감 경험률
2023,시도,전북,12430.0,9.8,0.5,9.4,0.6,4.7,우울감 경험률
2023,시도,전남,19550.0,5.8,0.3,5.8,0.3,4.4,우울감 경험률
2023,시도,경북,21301.0,7.5,0.3,7.5,0.3,3.4,우울감 경험률
2023,시도,경남,17937.0,7.4,0.3,7.6,0.3,3.9,우울감 경험률
2023,시도,제주,5026.0,5.0,0.5,5.1,0.5,10.7,우울감 경험률
2008,전국,-,,,,,,,우울증상유병률
2009,전국,-,,,,,,,우울증상유병률
2010,전국,-,,,,,,,우울증상유병률
2011,전국,-,,,,,,,우울증상유병률
2012,전국,-,,,,,,,우울증상유병률
2013,전국,-,,,,,,,우울증상유병률
2014,전국,-,,,,,,,우울증상유병률
2015,전국,-,,,,,,,우울증상유병률
2016,전국,-,,,,,,,우울증상유병률
2017,전국,-,,3.0,,2.7,,,우울증상유병률
2017,시도,서울,22854.0,3.6,0.1,3.6,0.1,3.9,우울증상유병률
2017,시도,부산,14506.0,3.1,0.2,2.8,0.2,5.3,우울증상유병률
2017,시도,대구,7297.0,2.4,0.2,2.4,0.2,7.6,우울증상유병률
2017,시도,인천,8969.0,3.8,0.3,3.8,0.2,6.6,우울증상유병률
2017,시도,광주,4579.0,4.3,0.4,4.1,0.3,8.3,우울증상유병률
2017,시도,대전,4569.0,3.0,0.3,3.0,0.3,10.1,우울증상유병률
2017,시도,울산,4542.0,1.5,0.2,1.6,0.2,15.4,우울증상유병률
2017,시도,세종,919.0,2.5,0.6,2.8,0.7,23.7,우울증상유병률
2017,시도,경기,40855.0,3.1,0.1,3.1,0.1,3.2,우울증상유병률
2017,시도,강원,15791.0,3.2,0.2,3.0,0.2,5.9,우울증상유병률
2017,시도,충북,12346.0,3.1,0.2,2.8,0.2,7.3,우울증상유병률
2017,시도,충남,13395.0,5.4,0.3,5.2,0.4,5.7,우울증상유병률
2017,시도,전북,12382.0,3.5,0.3,3.0,0.3,8.3,우울증상유병률
2017,시도,전남,19599.0,3.0,0.2,2.6,0.2,5.8,우울증상유병률
2017,시도,경북,22114.0,3.1,0.2,2.9,0.2,5.1,우울증상유병률
2017,시도,경남,17932.0,2.3,0.2,2.1,0.2,6.6,우울증상유병률
2017,시도,제주,4956.0,2.4,0.4,2.5,0.4,15.0,우울증상유병률
2018,전국,-,,3.3,,2.8,,,우울증상유병률
2018,시도,서울,22858.0,3.6,0.1,3.5,0.1,3.9,우울증상유병률
2018,시도,부산,14484.0,4.0,0.2,3.5,0.2,4.5,우울증상유병률
2018,시도,대구,7289.0,2.1,0.2,1.9,0.2,9.5,우울증상유병률
2018,시도,인천,8965.0,5.0,0.3,4.8,0.3,6.1,우울증상유병률
2018,시도,광주,4564.0,3.4,0.3,3.2,0.3,8.7,우울증상유병률
2018,시도,대전,4572.0,2.3,0.2,2.1,0.2,10.7,우울증상유병률
2018,시도,울산,4551.0,2.7,0.3,2.9,0.3,10.0,우울증상유병률
2018,시도,세종,917.0,3.9,0.7,3.6,0.6,19.1,우울증상유병률
2018,시도,경기,40894.0,3.3,0.1,3.2,0.1,3.2,우울증상유병률
2018,시도,강원,15783.0,3.4,0.3,2.9,0.2,7.8,우울증상유병률
2018,시도,충북,12372.0,3.7,0.2,3.4,0.2,5.7,우울증상유병률
2018,시도,충남,13454.0,5.0,0.3,4.3,0.3,5.3,우울증상유병률
2018,시도,전북,12444.0,4.3,0.4,3.9,0.4,9.3,우울증상유병률
2018,시도,전남,19558.0,3.2,0.2,2.7,0.2,4.9,우울증상유병률
2018,시도,경북,22087.0,3.6,0.2,3.4,0.2,5.0,우울증상유병률
2018,시도,경남,17931.0,3.0,0.2,2.8,0.2,5.8,우울증상유병률
2018,시도,제주,5005.0,2.2,0.3,2.0,0.3,15.6,우울증상유병률
2019,전국,-,,3.0,,2.7,,,우울증상유병률
2019,시도,서울,22823.0,3.8,0.1,3.7,0.1,3.9,우울증상유병률
2019,시도,부산,14502.0,3.1,0.2,2.7,0.2,5.2,우울증상유병률
2019,시도,대구,7278.0,2.7,0.2,2.6,0.2,8.1,우울증상유병률
2019,시도,인천,8960.0,3.5,0.2,3.5,0.2,6.6,우울증상유병률
2019,시도,광주,4551.0,3.0,0.3,3.0,0.3,9.3,우울증상유병률
2019,시도,대전,4571.0,2.0,0.3,2.1,0.3,13.1,우울증상유병률
2019,시도,울산,4551.0,2.4,0.2,2.5,0.3,9.9,우울증상유병률
2019,시도,세종,896.0,2.1,0.6,2.3,0.7,28.9,우울증상유병률
2019,시도,경기,41660.0,3.2,0.1,3.2,0.1,3.1,우울증상유병률
2019,시도,강원,15718.0,3.6,0.3,3.8,0.3,7.5,우울증상유병률
